小韻次序	代表字	全部字	反切	編碼	切韻拼音	unt切韻擬音L	unt切韻擬音J	潘悟雲擬音
1	東	東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤	德紅	EAA	toung	tuɴ	tuɴ	tuŋ˧
2	同	同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿	徒紅	GAA	doung	duɴ	duɴ	duŋ˧
3	中	中衷忠𦬕	陟弓	JBA	trung	ʈuɴ	ʈuɴ	ʈɨuŋ˧
4	蟲	蟲沖种盅爞𦬕翀	直弓	LBA	drung	ɖuɴ	ɖuɴ	ɖɨuŋ˧
5	終	終衆潨𣧩螽𧑄鼨蔠柊𩅧䶱鴤䈺泈䝦	職戎	XBA	tjung	tɕuɴ	tɕuɴ	tɕɨuŋ˧
6	忡	忡浺盅	敕中	KBA	trhung	ʈʰuɴ	ʈʰuɴ	ʈʰɨuŋ˧
7	崇	崇崈㓽𩞉	鋤弓	UBA	dzrung	dʐuɴ	dʐuɴ	dʐɨuŋ˧
8	嵩	嵩崧𪀚娀菘硹㣝𧊕𨱿	息弓	QBA	sung	sjuɴ	sjuɴ	sɨuŋ˧
9	戎	戎𢦦茙㭜駥𥬪𠈋狨絨	如融	cBA	njung	ɲuɴ	ɲuɴ	ȵɨuŋ˧
10	弓	弓躳躬㴦宮匑	居戎	dBA	kung	kuɴ	kj̈uɴ	kɨuŋ˧
11	融	融肜瀜	以戎	lBA	jung	juɴ	juɴ	jɨuŋ˧
12	雄	雄熊	羽弓	kBA	ung	wuɴ	wuɴ	ɦɨuŋ˧
13	瞢	瞢夢𨞯懜𦫰𧲎	莫中	DBA	mung	muɴ	mʋuɴ	mɨuŋ˧
14	穹	穹𢞏焪芎𦵡匑𥳎	去宮	eBA	khung	kʰuɴ	kʰj̈uɴ	kʰɨuŋ˧
15	窮	窮藭𥨪	渠弓	fBA	gung	ɡuɴ	ɡj̈uɴ	ɡɨuŋ˧
16	馮	馮堸汎芃𨝭渢梵	房戎	CBA	bung	buɴ	bʋuɴ	bɨuŋ˧
17	風	風飌楓猦偑檒𧆉	方戎	ABA	pung	puɴ	pʋuɴ	pɨuŋ˧
18	豐	豐酆蘴灃寷麷㒥㠦	敷空	BBA	phung	pʰuɴ	pʰʋuɴ	pʰɨuŋ˧
19	充	充珫茺㤝䘪𪎽㳘	昌終	YBA	tjhung	tɕʰuɴ	tɕʰuɴ	tɕʰɨuŋ˧
20	隆	隆癃𪔳窿霳㚅	力中	IBA	lung	luɴ	luɴ	lɨuŋ˧
21	空	空箜崆椌硿䅝悾埪倥涳鵼𦱇𢃐𧌆	苦紅	eAA	khoung	qʰuɴ	qʰuɴ	kʰuŋ˧
22	公	公功工疘蚣玒釭魟攻㓚愩碽篢	古紅	dAA	koung	quɴ	quɴ	kuŋ˧
23	蒙	蒙冡濛𩦺艨䑃矇饛䰒檬𨢊䴿𨣘鸏幪罞𢄐髳蠓𦿏雺霿霚朦䀄懜霥	莫紅	DAA	moung	ᵯuɴ	muɴ	muŋ˧
24	籠	籠豅㰍朧𡃡龓䪊瀧聾𨏠礱䆍𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨鸗𩟭蠪㟅屸	盧紅	IAA	loung	ɫuɴ	ɫuɴ	luŋ˧
25	洪	洪鉷訌紅虹仜鴻葒葓谼䉺烘洚渱𨹁魟䧆䪦𦏺䫹䂫𨾊	戶公	jAA	ghoung	ʁuɴ	ʁuɴ	ɦuŋ˧
26	叢	叢藂䕺潨𥵫	徂紅	PAA	dzoung	dzuɴ	dzuɴ	dzuŋ˧
27	翁	翁螉䱵蓊䈵䩺㮬𩔚	烏紅	hAA	qoung	ʡuɴ	ʡuɴ	ʔuŋ˧
28	悤	怱忩葱楤𨍉聦繱𤧚騘䗓囪𨣭鍯㷓𢉛	倉紅	OAA	tshoung	tsʰuɴ	tsʰuɴ	tsʰuŋ˧
29	通	通蓪侗恫痌曈俑𧳆𨀜	他紅	FAA	thoung	tʰuɴ	tʰuɴ	tʰuŋ˧
30	葼	葼鬷嵕猣豵鯼椶騣𩮀䗥嵸艐蝬堫𥓻翪緵㚇㣭稯鬉	子紅	NAA	tsoung	tsuɴ	tsuɴ	tsuŋ˧
31	蓬	蓬𥭗篷髼蜂芃𧚋韸䮾𩖛	薄紅	CAA	boung	ᵬuɴ	buɴ	buŋ˧
32	烘	烘叿魟谾𩐠𩗄	呼東	iAA	houng	χuɴ	χuɴ	huŋ˧
33	㟅	㟅	五東	gAA	ngoung	ɴuɴ	ɴuɴ	ŋuŋ˧
34	𣞷	檧憽㬝	蘇公	QAA	soung	suɴ	suɴ	suŋ˧
35	冬	冬𠔙苳䳉笗𩂓𧲴	都宗	ECA	tong	toɴ	toɴ	tu̯oŋ˧
36	彤	彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨	徒冬	GCA	dong	doɴ	doɴ	du̯oŋ˧
37	賨	賨琮悰潨淙慒鬃㼻孮誴𢃏	藏宗	PCA	dzong	dzoɴ	dzoɴ	dzu̯oŋ˧
38	農	農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿	奴冬	HCA	nong	noɴ	noɴ	nu̯oŋ˧
39	攻	攻釭	古冬	dCA	kong	qoɴ	qoɴ	ku̯oŋ˧
40	䃔	䃔洚㗢𩘎	戶冬	jCA	ghong	ʁoɴ	ʁoɴ	ɦu̯oŋ˧
41	䃧	䃧䥢𣫣	力冬	ICA	long	ɫoɴ	ɫoɴ	lu̯oŋ˧
42	宗	宗倧	作冬	NCA	tsong	tsoɴ	tsoɴ	tsu̯oŋ˧
43	鬆	鬆䯳	私宗	QCA	song	soɴ	soɴ	su̯oŋ˧
44	炵	炵	他冬	FCA	thong	tʰoɴ	tʰoɴ	tʰu̯oŋ˧
45	鍾	鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆	職容	XDA	tjuong	tɕoɴ	tɕoɴ	tɕɨu̯o̝ŋ˧
46	龍	龍𪚝躘鸗驡𪚠籠𦪽蘢	力鍾	IDA	luong	loɴ	loɴ	lɨu̯o̝ŋ˧
47	舂	舂𧐍摏蹖𪄻憃	書容	aDA	sjuong	ɕoɴ	ɕoɴ	ɕɨu̯o̝ŋ˧
48	松	松㮤淞訟	祥容	RDA	zuong	zjoɴ	zjoɴ	zɨu̯o̝ŋ˧
49	𧘂	𧘂衝罿憧䡴艟潼褈𠟍𠝤䂌	尺容	YDA	tjhuong	tɕʰoɴ	tɕʰoɴ	tɕʰɨu̯o̝ŋ˧
50	容	容溶滽庸𦤘𧴄㺎𤛑墉鎔鏞銿鄘傭𪅟㼸𤮇鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾𨲟𪃾槦㣑𢧳	餘封	lDA	juong	joɴ	joɴ	jɨu̯o̝ŋ˧
51	封	封𡉚犎葑崶	府容	ADA	puong	poɴ	pʋoɴ	pɨu̯o̝ŋ˧
52	胷	胷凶𣧑銎洶恟𧧗兇訩匈	許容	iDA	huong	xoɴ	xj̈oɴ	hɨu̯o̝ŋ˧
53	顒	顒𩤛鰅喁	魚容	gDA	nguong	ŋoɴ	ŋj̈oɴ	ŋɨu̯o̝ŋ˧
54	邕	邕雍噰嗈郺澭灉癰罋廱饔壅雝𪄉㻾𧴗	於容	hDA	quong	ʔoɴ	ʔj̈oɴ	ʔɨu̯o̝ŋ˧
55	醲	醲𨑊濃襛穠檂𪒬𨲳	女容	MDA	nruong	ɳoɴ	ɳoɴ	ɳɨu̯o̝ŋ˧
56	重	重穜緟褈䳯蝩	直容	LDA	druong	ɖoɴ	ɖoɴ	ɖɨu̯o̝ŋ˧
57	從	從从𩀰	疾容	PDA	dzuong	dzjoɴ	dzjoɴ	dzɨu̯o̝ŋ˧
58	蹱	蹱傭𦟛𨙦䝑𨤩𪒒	丑凶	KDA	trhuong	ʈʰoɴ	ʈʰoɴ	ʈʰɨu̯o̝ŋ˧
59	逢	逢縫漨䩼𥎌夆𥛝捀	符容	CDA	buong	boɴ	bʋoɴ	bɨu̯o̝ŋ˧
60	峯	峯鋒丰𡴀𢓱妦蠭蜂𧒒蘴桻㷭烽莑仹㸼	敷容	BDA	phuong	pʰoɴ	pʰʋoɴ	pʰɨu̯o̝ŋ˧
61	縱	縱𣯨蹤䡮樅磫豵熧𧺣	即容	NDA	tsuong	tsjoɴ	tsjoɴ	tsɨu̯o̝ŋ˧
62	茸	茸䩸髶䇯襛穠搑𥎂榵穁	而容	cDA	njuong	ɲoɴ	ɲoɴ	ȵɨu̯o̝ŋ˧
63	蛩	蛩邛舼𦨰筇輁𦭭𥳎䂬蛬𠌖𩬰桏䅃𤤶𩢽	渠容	fDA	guong	ɡoɴ	ɡj̈oɴ	ɡɨu̯o̝ŋ˧
64	鱅	鱅慵𩌨	蜀庸	ZDA	djuong	dʑoɴ	dʑoɴ	dʑɨu̯o̝ŋ˧
65	恭	恭龔供珙䢼共𤱨廾髸䳍	九容	dDA	kuong	koɴ	kj̈oɴ	kɨu̯o̝ŋ˧
66	蜙	蜙淞凇鬆倯𢔋	息恭	QDA	suong	sjoɴ	sjoɴ	sɨu̯o̝ŋ˧
67	樅	樅鏦從暰䗥瑽摐䐫𥡬𧺣鬆𨑪	七恭	ODA	tshuong	tsʰjoɴ	tsʰjoɴ	tsʰɨu̯o̝ŋ˧
68	銎	銎𥳎	曲恭	eDA	khuong	kʰoɴ	kʰj̈oɴ	kʰɨu̯o̝ŋ˧
69	江	江扛杠茳釭矼豇肛玒𧢸䜫	古雙	dEA	koeung	qoˤɴ	qoˤɴ	kɣɔŋ˧
70	厖	厖駹狵尨浝哤牻娏䵨㟌蛖𥆙痝𠈵	莫江	DEA	moeung	ᵯoˤɴ	moˤɴ	mɣɔŋ˧
71	𦗳	𦗳𣰊涳噥𩟊鬞䁸𪆯	女江	MEA	nroeung	ɳoˤɴ	ɳoˤɴ	ɳɣɔŋ˧
72	囪	囪䆫牎窓䎫堫摐鏦𥍷	楚江	TEA	tsrhoeung	tʂʰoˤɴ	tʂʰoˤɴ	tʂʰɣɔŋ˧
73	邦	邦𤰫梆垹	博江	AEA	poeung	ᵱoˤɴ	poˤɴ	pɣɔŋ˧
74	栙	栙䜶降缸缻洚夅跭	下江	jEA	ghoeung	ʁoˤɴ	ʁoˤɴ	ɦɣɔŋ˧
75	胮	胮𤵸𩐨𪔔𪐿	匹江	BEA	phoeung	ᵱʰoˤɴ	pʰoˤɴ	pʰɣɔŋ˧
76	瀧	瀧䮾	呂江	IEA	loeung	ɫoˤɴ	ɫoˤɴ	lɣɔŋ˧
77	雙	雙艭䉶𢥠䝄瀧𨇯	所江	VEA	sroeung	ʂoˤɴ	ʂoˤɴ	ʂɣɔŋ˧
78	龐	龐逄胮𩐨舽	薄江	CEA	boeung	ᵬoˤɴ	boˤɴ	bɣɔŋ˧
79	肛	肛啌谾舡	許江	iEA	hoeung	χoˤɴ	χoˤɴ	hɣɔŋ˧
80	胦	胦	握江	hEA	qoeung	ʡoˤɴ	ʡoˤɴ	ʔɣɔŋ˧
81	腔	腔𤟄羫控椌悾跫涳崆𩩝㾤㼹	苦江	eEA	khoeung	qʰoˤɴ	qʰoˤɴ	kʰɣɔŋ˧
82	幢	幢撞橦𣃘噇𩪘	宅江	LEA	droeung	ɖoˤɴ	ɖoˤɴ	ɖɣɔŋ˧
83	憃	憃䚎𥡟䄝𧜧	丑江	KEA	trhoeung	ʈʰoˤɴ	ʈʰoˤɴ	ʈʰɣɔŋ˧
84	樁	樁𣻛	都江	JEA	troeung	ʈoˤɴ	ʈoˤɴ	ʈɣɔŋ˧
85	㟅	㟅	五江	gEA	ngoeung	ɴoˤɴ	ɴoˤɴ	ŋɣɔŋ˧
86	淙	淙鬃㼻𩞐	士江	UEA	dzroeung	dʐoˤɴ	dʐoˤɴ	dʐɣɔŋ˧
87	支	支𥾣只汥㲍巵梔枝衹㽻衼肢胑𨈛禔馶氏疻㩼鳷䧴觶榰㯄𪂅𧌔眵䡋𩍲	章移	XFA	tjie	tɕie	tɕie	tɕiᴇ˧
88	移	移䄬迻𠩗杝鉹袲箷𥠥㥴詑簃䔟熪扅衪暆迆𤝻栘歋酏匜拸謻𠗺蛇虵螔𠐀𣣢䬁	弋支	lFA	jie	jie	jie	jiᴇ˧
89	爲	爲為潙䧦鄬𩻟	薳支	kFI	ue	wɹie	wɹie	ɦʷiᴇ˧
90	嬀	嬀潙	居爲	dFM	kue	kɹwie	kɹwie	kʷɣiᴇ˧
91	𪎮	𪎮麾噅撝𩻟䧦	許爲	iFM	hue	xɹwie	xɹwie	hʷɣiᴇ˧
92	逶	逶𣨙萎㮃覣蜲痿倭委䴧蟡	於爲	hFM	que	ʔɹwie	ʔɹwie	ʔʷɣiᴇ˧
93	糜	糜縻㸏𪎕蘼䊳𪎭𦗕醿	靡爲	DFE	mye	mɹie	mɹie	mɣiᴇ˧
94	隓	隓墮隳眭觿睢䜐鑴蘳	許規	iFI	hwie	xwie	xwie	hʷiᴇ˧
95	鬌	鬌錘甀	直垂	LFI	drwie	ɖwie	ɖwie	ɖʷiᴇ˧
96	𡍮	𡍮垂陲倕𦈼𨿠圌篅𥳙𠂹	是爲	ZFI	djwie	dʑwie	dʑwie	dʑʷiᴇ˧
97	羸	羸𡰠	力爲	IFI	lwie	lwie	lwie	lʷiᴇ˧
98	吹	吹炊䶴	昌垂	YFI	tjhwie	tɕʰwie	tɕʰwie	tɕʰʷiᴇ˧
99	鈹	鈹帔鮍披𤱍耚狓翍旇秛𤿎㱟	敷羈	BFE	phye	pʰɹie	pʰɹie	pʰɣiᴇ˧
100	陂	陂詖碑羆𥀍𨰟𤜑𨧦𥶓襬藣	彼爲	AFE	pye	pɹie	pɹie	pɣiᴇ˧
101	隨	隨隋𥶻	旬爲	RFI	zwie	zwie	zwie	zʷiᴇ˧
102	虧	虧	去爲	eFM	khue	kʰɹwie	kʰɹwie	kʰʷɣiᴇ˧
103	闚	闚窺	去隨	eFI	khwie	kʰwie	kʰwie	kʰʷiᴇ˧
104	奇	竒琦騎鵸弜鬾碕𢺷㩽錡	渠羈	fFE	gye	ɡɹie	ɡɹie	ɡɣiᴇ˧
105	祇	祇示衹岐歧𨙸馶疧蚑忯䞚翄𢻚軝𩉬芪汥跂䲬蚔䉻𦭲伎𨱜𠁭	巨支	fFA	gie	ɡie	ɡie	ɡiᴇ˧
106	犧	犧羲焁桸巇羛戲𤃪曦𢹍𧕆䚙䖒㺣𣤴𢨛㚀隵	許羈	iFE	hye	xɹie	xɹie	hɣiᴇ˧
107	㩻	㩻觭踦㱦崎𦖊碕𤘌㥓䗁攲	去奇	eFE	khye	kʰɹie	kʰɹie	kʰɣiᴇ˧
108	宜	宜宐𠣨㝖儀𥪺䣡䴊轙涯崖	魚羈	gFE	ngye	ŋɹie	ŋɹie	ŋɣiᴇ˧
109	皮	皮疲郫罷㯅犤	符羈	CFE	bye	bɹie	bɹie	bɣiᴇ˧
110	提	提𦑡㖷匙䈕堤禔𦳚忯姼眂𣏚	是支	ZFA	djie	dʑie	dʑie	dʑiᴇ˧
111	兒	兒𠒆唲婼	汝移	cFA	njie	ɲie	ɲie	ȵiᴇ˧
112	離	離籬醨罹璃酈𣀷驪𪖂樆鸝鵹𪅆縭褵蘺䕻麗离䍦㰚蠡䅻孋漓灕𧕯㷰𧕮攡黐矖穲𢟢𢥗謧劙	呂支	IFA	lie	lie	lie	liᴇ˧
113	疵	疵骴玼茈𣐑胔飺鴜	疾移	PFA	dzie	dzie	dzie	dziᴇ˧
114	貲	貲頿鴜𪕊鮆訾鄑㠿媊𨚖㰣鈭姕𦺱䖪觜	即移	NFA	tsie	tsie	tsie	tsiᴇ˧
115	羈	羈畸羇掎攲竒㱦妓躸	居宜	dFE	kye	kɹie	kɹie	kɣiᴇ˧
116	卑	卑鵯椑箄裨鞞𩔹痺渒錍𢃍	府移	AFA	pie	pie	pie	piᴇ˧
117	陴	陴𩫫焷脾䴽埤裨蜱𧓎螷蠯㯅郫𪌈紕	符支	CFA	bie	bie	bie	biᴇ˧
118	䌳	䌳絁施葹䙾鍦鉈鸍𪓿䗐𧠜𢻫	式支	aFA	sjie	ɕie	ɕie	ɕiᴇ˧
119	斯	斯虒𩆵榹㴲廝㒋凘磃㾷傂謕鼶𪆁蟴㽄螔䫢䌳䔮菥𥕶蜤燍禠鐁	息移	QFA	sie	sie	sie	siᴇ˧
120	差	差嵯𪙉縒	楚宜	TFA	tsrhye	tʂʰie	tʂʰie	tʂʰiᴇ˧
121	摛	摛螭誺魑黐㷰离𡴥彲	丑知	KFA	trhie	ʈʰie	ʈʰie	ʈʰiᴇ˧
122	彌	彌𢏏鸍镾䍘𨤐𥉓㣆獼𥸀擟麊冞㜷䥸𥎖瀰	武移	DFA	mie	mie	mie	miᴇ˧
123	雌	雌𦙼姕鈭𦍧	此移	OFA	tshie	tsʰie	tsʰie	tsʰiᴇ˧
124	知	知䵹鼅蜘䣽䝷	陟離	JFA	trie	ʈie	ʈie	ʈiᴇ˧
125	漪	漪猗椅旖禕陭欹㾨犄𩕲檹	於離	hFE	qye	ʔɹie	ʔɹie	ʔɣiᴇ˧
126	馳	馳趍池簃篪䶵踟褫䪧䶔誃傂䞾	直離	LFA	drie	ɖie	ɖie	ɖiᴇ˧
127	眭	眭	息爲	QFI	swie	swie	swie	sʷiᴇ˧
128	危	危㕒洈峗	魚爲	gFM	ngue	ŋɹwie	ŋɹwie	ŋʷɣiᴇ˧
129	詑	詑焁	香支	iFA	hie	xie	xie	hiᴇ˧
130	釃	釃簁欐襹褷𧕯籭	所宜	VFA	srye	ʂie	ʂie	ʂiᴇ˧
131	䪎	䪎䭨	山垂	VFI	srue	ʂwie	ʂwie	ʂʷiᴇ˧
132	痿	痿䬐	人垂	cFI	njwie	ɲwie	ɲwie	ȵʷiᴇ˧
133	厜	厜觜纗惢嫢㭰	姊規	NFI	tswie	tswie	tswie	tsʷiᴇ˧
134	𩓸	𩓸𩓡槻規鬹𨾚摫	居隋	dFI	kwie	kwie	kwie	kʷiᴇ˧
135	劑	劑㭰𦸺臇𤎱㷷	遵爲	NFI	tswie	tswie	tswie	tsʷiᴇ˧
136	衰	衰夊	楚危	TFI	tsrhue	tʂʰwie	tʂʰwie	tʂʰʷiᴇ˧
137	腄	腄箠㩾	竹垂	JFI	trwie	ʈwie	ʈwie	ʈʷiᴇ˧
138	䮔	䮔	子垂	XFI	tjwie	tɕwie	tɕwie	tɕʷiᴇ˧
139	眵	眵䌳	叱支	YFA	tjhie	tɕʰie	tɕʰie	tɕʰiᴇ˧
140	齜	齜	側宜	SFA	tsrye	tʂie	tʂie	tʂiᴇ˧
141	𤿎	𤿎	匹支	BFA	phie	pʰie	pʰie	pʰiᴇ˧
142	䔺	䔺𩁌蠵欈𧲚䝐	悅吹	lFI	jwie	jwie	jwie	jʷiᴇ˧
143	齹	齹	士宜	UFA	dzrye	dʐie	dʐie	dʐiᴇ˧
144	脂	脂祗汦砥栺鴲㴯疻䓜𥁼	旨夷	XGA	tji	tɕi	tɕi	tɕi˧
145	姨	姨彞寅夷峓恞眱𣟗珆蔩𡰥痍䧅荑桋蛦胰鮧羠羨鏔𢓡鴺𡱐跠洟	以脂	lGA	ji	ji	ji	ji˧
146	師	師鰤蒒篩獅螄	疏夷	VGA	sryi	ʂi	ʂi	ʂi˧
147	𣬈	𣬈毗比琵㮰芘沘貔豼膍肶蚍𧖈枇仳𨈚魮鈚𦳈𦊁阰𧑜鵧	房脂	CGA	bi	bi	bi	bi˧
148	咨	咨資粢𪗉𪗋𧞓諮姿齍澬𣳩齎蒫𩆂𩄚	即夷	NGA	tsi	tsi	tsi	tsi˧
149	飢	飢机肌虮	居夷	dGE	kyi	kɹi	kɹi	kɣi˧
150	鴟	鴟𨾦鵄胵𩶅𧪡𨒬	處脂	YGA	tjhi	tɕʰi	tɕʰi	tɕʰi˧
151	絺	絺辴郗𥭘脪瓻訵	丑飢	KGA	trhi	ʈʰi	ʈʰi	ʈʰi˧
152	郪	郪趑𨌅趀𧾒𧠵𡰾𡳠蠀	取私	OGA	tshi	tsʰi	tsʰi	tsʰi˧
153	茨	茨薋薺餈𩜴垐䆅𧓉瓷澬𥿆𨌅𩆂	疾資	PGA	dzi	dzi	dzi	dzi˧
154	尼	尼柅怩蚭跜呢𩚯䝚	女夷	MGA	nri	ɳi	ɳi	ɳi˧
155	墀	墀𡎰坻泜遲遟蚳岻彽阺荎菭謘莉貾	直尼	LGA	dri	ɖi	ɖi	ɖi˧
156	私	私鋖厶𦮺㺨	息夷	QGA	si	si	si	si˧
157	尸	尸鳲屍蓍	式脂	aGA	sji	ɕi	ɕi	ɕi˧
158	鬐	鬐𦓀耆愭𧡺𥉙䅲祁𨪌鰭鮨	渠脂	fGA	gi	ɡi	ɡi	ɡi˧
159	伊	伊咿𧉅黝黟	於脂	hGA	qi	ʔi	ʔi	ʔi˧
160	棃	棃梨𠠍秜蜊蔾犂刕𢤂鯬鑗䴻蟍𨟀	力脂	IGA	li	li	li	li˧
161	葵	葵鄈楑𩹍𢜽𦝢䳫𧍜	渠追	fGI	gwi	ɡwi	ɡwi	ɡʷi˧
162	追	追䨨娺	陟隹	JGI	trwi	ʈwi	ʈwi	ʈʷi˧
163	龜	龜𪚦𤕣䟸螝騩	居追	dGM	kui	kɹwi	kɹwi	kʷɣi˧
164	蕤	蕤甤緌擩桵䅑捼	儒隹	cGI	njwi	ɲwi	ɲwi	ȵʷi˧
165	衰	衰榱𤸬	所追	VGI	srui	ʂwi	ʂwi	ʂʷi˧
166	惟	惟𣄧維遺濰壝𥌰蓶䜅琟唯𧔥	以追	lGI	jwi	jwi	jwi	jʷi˧
167	㶟	㶟纍虆欙𤜖𡿔㠥𡤯瓃𥍔鸓儽纝	力追	IGI	lwi	lwi	lwi	lʷi˧
168	綏	綏雖荾荽䒘葰浽奞夊睢濉䅑	息遺	QGI	swi	swi	swi	sʷi˧
169	逵	逵夔𣦞馗戣鍨騤犪躨𦝢艽䟸𠊾𨾗頯𠐽𧢦𢌳頄	渠追	fGM	gui	ɡɹwi	ɡɹwi	ɡʷɣi˧
