小韻號	廣韻對應小韻號	代表字	全部字	反切
1	1	東	東凍	德紅
2	2	同	同童僮銅桐峒𧱁硐筒𦨴瞳㼧罿潼筩犝橦曈衕烔𩍅	徒紅
3	3	中	中衷忠𦬕	陟隆
4	4	蟲	蟲沖种盅爞	直隆
5	5	終	終衆泈潨𣧩螽𩅉鼨蔠柊䶱	職隆
6	6	忡	忡盅	勅中
7	7	崇	崇㓽	鋤隆
8	8	嵩	嵩娀菘	息隆
9	9	戎	戎茙㭜駥	如隆
10	10	弓	弓躬宫㴦	居隆
11	11	融	融䑣	餘隆
12	12	雄	雄熊	羽隆
13	13	瞢	瞢夢𨞯	莫中
14	14	穹	穹芎𢞏𥳎	去隆
15	15	窮	窮藭𥨪	渠隆
16	16	馮	馮汎芃𨝭梵	扶隆
17	18	豊	豊鄷蘴澧𡫋䵄	敷隆
18	17	風	風楓	方隆
19	19	充	兖珫茺𪎽㤝	處隆
20	20	隆	隆𤸇𪔴	力中
21	21	空	空箜崆硿䅝涳埪	苦紅
22	22	公	公㓛工疘蚣玒釭愩攻	古紅
23	23	蒙	蒙濛䑃矇艨饛䰒𩦺檬䤓冡𨣘𢄐鸏䀄靀	莫紅
24	24	籠	籠豅櫳朧𡃡巃瓏龓瀧聾𨏠礱嚨䆍蘢𤮨襱蠪	盧紅
25	25	洪	洪訌鉷紅虹鴻葓谼䉺葒肛䧆𦏺洚	胡籠
26	26	叢	叢	徂紅
27	27	翁	翁螉䱵蓊𩔚	烏紅
28	28	怱	悤蔥樬䡯聰總璁驄鏓熜𢊕蟌	倉紅
29	29	通	通蓪侗恫	他紅
30	30	葼	葼椶緵𩭤鬷嵕猣𤡆鯼椶㚇鬉堫嵸㣭艐翪䗥稯	子紅
31	31	蓬	蓬竼髼韸篷𥭗	薄紅
32	32	烘	烘魟	呼紅
33	34	檧	𣞷	蘇公
34	35	冬	冬苳	都宗
35	36	彤	彤疼佟炵䳋鼕𢥞㤏痋䂈𣪯鉵爞𧹝䶱	徒冬
36	37	賨	賨琮悰潨淙慒鬃	在宗
37	38	農	農膿儂𩅽	奴冬
38	65	恭	恭龔供珙𤱨廾	駒冬
39	66	蜙	蜙淞凇倯	先恭
40	67	樅	樅鏦𢔩鬆	七容
41	39	攻	攻釭	古冬
42	40	䃔	䃔㗢	戶冬
43	41	䃧	䃧䥢	力宗
44	42	宗	宗	作琮
45	45	鍾	鍾鐘蚣忪䇗妐衳彸□伀	職容
46	46	龍	龍瓏躘鸗	力鍾
47	47	舂	舂摏蹖𪄻𧐍憃	書容
48	48	松	松訟凇	詳容
49	49	𧘂	𧘂罿憧䡴艟潼□□	尺容
50	50	容	容溶滽庸墉𤛑鎔鏞鄘傭𪅟㼸鱅蓉㺎褣頌搈槦	餘封
51	51	封	封犎	府容
52	52	胷	胷凶銎恟洶兇訩匈	許容
53	53	顒	顒鰅喁	魚容
54	54	邕	邕雍噰郺澭罋癰饔𪄉癕壅㻾	於容
55	55	醲	醲𨑊濃穠	女容
56	56	重	重穜䳯褈蝩	直容
57	57	從	從	疾容
58	58	蹱	蹱傭𨙔	丑凶
59	59	逢	逢縫漨夆𥎌	符容
60	60	峯	峯鋒丰妦蜂蘴桻夆烽𢓱	敷容
61	61	縱	縱蹤𨌰磫𣯨	即容
62	62	茸	茸𩊐髶䇯穠搑𥎂禯	而容
63	63	蛩	蛩邛舼筇輁𦭭𩬰桏䂬䅃廾	渠容
64	64	鱅	鱅慵𩌨	蜀容
65	69	江	江扛杠茳釭玒䚗	古雙
66	70	庬	庬駹狵浝哤牻娏䵨蛖	莫江
67	71	𦗳	𦗳𣰊鬞𩟊	女江
68	72	窗	窻䎫摐𥎒	楚江
69	73	邦	邦	博江
70	74	栙	栙䜶降缸洚	下江
71	75	胮	胮𩐨	匹江
72	76	瀧	瀧	呂江
73	77	雙	雙䉶䝄愯	所江
74	78	龐	龐胮	蒲江
75	79	肛	肛舽	許江
76	81	腔	腔控悾跫涳	苦江
77	82	幢	幢撞橦	宅江
78	83	憃	憃䚎	丑江
79	84	樁	樁	都江
80	87	支	支巵枝㽻衹䃽肢禔梔䓜榰馶䧴㲍多	章移
81	88	移	移暆迤𤝻栘搋𨠑匜椸栘螔袘蛇扅熪忯㥴𧦧俿簃䔟	弋支
82	89	爲	爲潙	薳支
83	90	嬀	嬀潙	君爲
84	91	麾	麾撝噅䧦𩻟	許爲
85	92	逶	逶𣨙萎㮃覣䴧蟡倭	於爲
86	93	糜	麋𪎭縻㸏𦗕	靡爲
87	94	隳	隳眭觿𧨧蘳睢	許隨
88	95	鬌	鬌錘甀	直垂
89	96	垂	垂陲倕𡸁𨿠篅𠃀	是爲
90	97	羸	羸	力爲
91	98	吹	吹炊䶴	昌爲
92	99	鈹	鈹帔鮍披𤱍旇㩺秛	敷羈
93	100	陂	陂詖碑羆𨰟錃藣	彼爲
94	101	隨	隨隋	旬爲
95	102	虧	虧	去爲
96	103	闚	闚	去隨
97	104	奇	奇琦騎鵸鬾碕岐錡𢺷	渠羈
98	105	祇	祇衹岐𨙸歧馶疧𩉬蚔忯跂芪軝䲬汥	巨支
99	106	犠	犠羲焁桸𤃪羛𤂴㚀㩬㰨曦𣟵	許羈
100	107	㩻	㩻崎觭踦犄㥓徛㱦㩻	去奇
101	108	宜	冝儀䣡䴊轙	魚羈
102	109	皮	皮疲郫㯅犤	符羈
103	110	提	㮛匙堤眂䈕𦳚𣏚扺	是支
104	111	兒	兒	如移
105	112	離	離籬醨罹璃𣀷驪𪖂樆鸝縭蘺䕻穲𧕯䅻𣁟攡𠭷𢟢謧漓劙𪅆𦔓䍦	呂移
106	113	疵	疵骴玼鴜飺胔𣐑	疾移
107	114	貲	貲髭鴜𪕊訾鮆鄑姕觜㰣鈭㠿𨚖媊	即移
108	115	羈	羈畸羇椅攲奇㱦	居宜
109	116	卑	𤰞鵯椑箄禆鞞𩔹錍	府移
110	117	陴	陴脾䴽𡌨𪌈蜱	苻支
111	118	絁	絁施葹𧠜𪓿	式支
112	119	斯	斯磃虒𩆵榹㴲𤺊凘𤷡傂𦇲鼶㒋䫢謕㽄螔蟴菥䔮燍𥕶	息移
113	120	差	差	楚宜
114	121	摛	樆螭誺魑黐㷰离	丑知
115	122	彌	弥鸍檷猕麊罙𡝠𨧮𢑃𥵨	武移
116	123	雌	雌胔鈭姕𦍧	七移
117	124	知	知蜘䣽𧸅	陟移
118	125	漪	漪猗椅禕陭䫯欹𦸒	於離
119	126	馳	馳池簃篪踟褫䶔誃䪧䶵䞾趍傂	直知
120	127	眭	眭	息爲
121	128	危	危㕒洈	魚爲
122	129	𧦭	𧦭	香支
123	139	眵	眵䌳	叱支
124	130	釃	釃簁籭𧕯	所宜
125	131	䪎	䪎	山垂
126	132	痿	痿䬽	人垂
127	133	厜	厜觜纗惢嫢	姊規
128	134	槻	槻規鬹𨾚摫𩓡	居隨
129	135	劑	劑䓱臇	觜隨
130	136	衰	衰	楚危
131	137	腄	腄箠	竹垂
132	144	脂	脂祗砥胑疻栺	旨夷
133	145	姨	姨彝寅夷痍恞䧅荑桋蛦胰眱𢓡㰘洟	以脂
134	146	師	師鰤	疏脂
