小韻號	對應廣韻小韻號	代表字	全部字	反切	韻目
1	1	東	東凍	德紅	東
2	2	同	同童僮銅桐峒𧱁硐筒𦨴瞳㼧罿潼筩犝橦曈衕烔𩍅	徒紅	東
3	3	中	中衷忠𦬕	陟隆	東
4	4	蟲	蟲沖种盅爞	直隆	東
5	5	終	終衆泈潨𣧩螽𩅉鼨蔠柊䶱	職隆	東
6	6	忡	忡盅	勅中	東
7	7	崇	崇㓽	鋤隆	東
8	8	嵩	嵩娀菘	息隆	東
9	9	戎	戎茙㭜駥	如隆	東
10	10	弓	弓躬宫㴦	居隆	東
11	11	融	融䑣	餘隆	東
12	12	雄	雄熊	羽隆	東
13	13	瞢	瞢夢𨞯	莫中	東
14	14	穹	穹芎𢞏𥳎	去隆	東
15	15	窮	窮藭𥨪	渠隆	東
16	16	馮	馮汎芃𨝭梵	扶隆	東
17	18	豊	豊鄷蘴澧𡫋䵄	敷隆	東
18	17	風	風楓	方隆	東
19	19	充	兖珫茺𪎽㤝	處隆	東
20	20	隆	隆𤸇𪔴	力中	東
21	21	空	空箜崆硿䅝涳埪	苦紅	東
22	22	公	公㓛工疘蚣玒釭愩攻	古紅	東
23	23	蒙	蒙濛䑃矇艨饛䰒𩦺檬䤓冡𨣘𢄐鸏䀄靀	莫紅	東
24	24	籠	籠豅櫳朧𡃡巃瓏龓瀧聾𨏠礱嚨䆍蘢𤮨襱蠪	盧紅	東
25	25	洪	洪訌鉷紅虹鴻葓谼䉺葒肛䧆𦏺洚	胡籠	東
26	26	叢	叢	徂紅	東
27	27	翁	翁螉䱵蓊𩔚	烏紅	東
28	28	怱	悤蔥樬䡯聰總璁驄鏓熜𢊕蟌	倉紅	東
29	29	通	通蓪侗恫	他紅	東
30	30	葼	葼椶緵𩭤鬷嵕猣𤡆鯼椶㚇鬉堫嵸㣭艐翪䗥稯	子紅	東
31	31	蓬	蓬竼髼韸篷𥭗	薄紅	東
32	32	烘	烘魟	呼紅	東
33	34	檧	𣞷	蘇公	東
34	35	冬	冬苳	都宗	冬
35	36	彤	彤疼佟炵䳋鼕𢥞㤏痋䂈𣪯鉵爞𧹝䶱	徒冬	冬
36	37	賨	賨琮悰潨淙慒鬃	在宗	冬
37	38	農	農膿儂𩅽	奴冬	冬
38	65	恭	恭龔供珙𤱨廾	駒冬	冬
39	66	蜙	蜙淞凇倯	先恭	冬
40	67	樅	樅鏦𢔩鬆	七容	冬
41	39	攻	攻釭	古冬	冬
42	40	䃔	䃔㗢	戶冬	冬
43	41	䃧	䃧䥢	力宗	冬
44	42	宗	宗	作琮	冬
45	45	鍾	鍾鐘蚣忪䇗妐衳彸□伀	職容	鍾
46	46	龍	龍瓏躘鸗	力鍾	鍾
47	47	舂	舂摏蹖𪄻𧐍憃	書容	鍾
48	48	松	松訟凇	詳容	鍾
49	49	𧘂	𧘂罿憧䡴艟潼□□	尺容	鍾
50	50	容	容溶滽庸墉𤛑鎔鏞鄘傭𪅟㼸鱅蓉㺎褣頌搈槦	餘封	鍾
51	51	封	封犎	府容	鍾
52	52	胷	胷凶銎恟洶兇訩匈	許容	鍾
53	53	顒	顒鰅喁	魚容	鍾
54	54	邕	邕雍噰郺澭罋癰饔𪄉癕壅㻾	於容	鍾
55	55	醲	醲𨑊濃穠	女容	鍾
56	56	重	重穜䳯褈蝩	直容	鍾
57	57	從	從	疾容	鍾
58	58	蹱	蹱傭𨙔	丑凶	鍾
59	59	逢	逢縫漨夆𥎌	符容	鍾
60	60	峯	峯鋒丰妦蜂蘴桻夆烽𢓱	敷容	鍾
61	61	縱	縱蹤𨌰磫𣯨	即容	鍾
62	62	茸	茸𩊐髶䇯穠搑𥎂禯	而容	鍾
63	63	蛩	蛩邛舼筇輁𦭭𩬰桏䂬䅃廾	渠容	鍾
64	64	鱅	鱅慵𩌨	蜀容	鍾
65	69	江	江扛杠茳釭玒䚗	古雙	江
66	70	庬	庬駹狵浝哤牻娏䵨蛖	莫江	江
67	71	𦗳	𦗳𣰊鬞𩟊	女江	江
68	72	窗	窻䎫摐𥎒	楚江	江
69	73	邦	邦	博江	江
70	74	栙	栙䜶降缸洚	下江	江
71	75	胮	胮𩐨	匹江	江
72	76	瀧	瀧	呂江	江
